,event_type,id,index,period,timestamp,minute,second,possession,possession_team,play_pattern,off_camera,team,player,position,duration,under_pressure,statsbomb_xg,key_pass_id,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z
4,shot,bd32591c-e782-464e-ab11-3b9401b3dc73,450,1,00:19:56.508,19,56,41,Birmingham City WFC,Regular Play,False,Birmingham City WFC,Charlie Wellings,Left Wing,2.446928,,0.014792661,dd03038e-6f86-42f0-b948-eaa559d9bea1,Right Foot,Open Play,Saved,Normal,,,,,,,63.0,42.0,114.0,41.3,0.0
5,shot,dc51791c-b991-4f72-9ff6-bd937e5d864e,507,1,00:21:55.165,21,55,46,Birmingham City WFC,From Free Kick,False,Birmingham City WFC,Emma Follis,Center Forward,0.431176,,0.03991666,de0c20e6-752b-46d2-a8ee-89edbe637178,Right Foot,Open Play,Saved,Normal,,True,,True,,,116.0,26.0,118.0,36.5,1.3
6,shot,05c61a08-2e39-4ba3-be3f-bf1411912587,523,1,00:22:33.199,22,33,48,Reading WFC,From Throw In,False,Reading WFC,Natasha Harding,Left Back,2.033973,True,0.022838991,816a094d-f24d-4f46-82aa-f0c3ffa9fafc,Right Foot,Open Play,Off T,Normal,,,,,,,94.0,35.0,120.0,46.4,3.7
7,shot,5a4af716-f945-454a-83bf-8d0c8e88e57f,543,1,00:24:07.500,24,7,50,Birmingham City WFC,From Free Kick,False,Birmingham City WFC,Kerys Harrop,Left Center Back,1.540428,,0.08733528,b46b827b-7e09-4b31-bd94-b91335406c17,Left Foot,Open Play,Off T,Volley,,,,,,,108.0,32.0,119.0,42.0,3.1
8,shot,e4aa749c-d8e9-4181-bbe0-610be54eac52,847,1,00:36:56.924,36,56,83,Birmingham City WFC,From Keeper,False,Birmingham City WFC,Lucy Staniforth,Right Wing,0.688346,,0.030263163,dc547444-fc93-4157-96b3-116c91f8942b,Right Foot,Open Play,Saved,Normal,,,,,,,104.0,25.0,118.0,39.8,1.3
9,shot,06ed1703-a967-4faf-8c56-070af09d209f,852,1,00:37:38.869,37,38,84,Birmingham City WFC,From Corner,False,Birmingham City WFC,Marisa Ewers,Right Defensive Midfield,1.646252,,0.033969417,,Right Foot,Open Play,Off T,Volley,,,,,,,99.0,30.0,119.0,41.5,4.7
10,shot,15997325-6e12-49c5-b10b-8bb10b0b7332,980,1,00:43:24.813,43,24,100,Reading WFC,Regular Play,False,Reading WFC,Fara Tanya Franki Williams Merrett,Left Center Midfield,0.1603,,0.033520184,d3c52e84-45be-47c7-9ec6-2050d1779b05,Right Foot,Open Play,Blocked,Normal,,,,,,,98.0,31.0,101.0,34.0,
11,shot,2e911e30-b0fa-4089-a758-6136e0a05ac9,1038,1,00:46:14.245,46,14,109,Birmingham City WFC,Regular Play,False,Birmingham City WFC,Charlie Wellings,Left Wing,0.79324,,0.04452811,2477bf69-2a00-4257-8f15-c625c6ff3028,Right Foot,Open Play,Saved,Half Volley,,,,,,,101.0,53.0,117.0,38.4,0.8
12,shot,ff71ff34-7923-45a4-9f69-4d6604b9eb6c,1167,2,00:02:38.095,47,38,121,Reading WFC,Regular Play,False,Reading WFC,Lauren Bruton,Right Midfield,0.1193,,0.032422177,035ba532-591e-479f-b70b-ad4c3d2d432a,Right Foot,Open Play,Blocked,Normal,,,,,,,94.0,39.0,97.0,39.0,
13,shot,25d759b5-26a3-4147-b843-89b0d8b98974,1201,2,00:03:31.365,48,31,124,Birmingham City WFC,Regular Play,False,Birmingham City WFC,Charlie Wellings,Left Wing,0.859424,,0.09773388,88ecdcdf-77ed-45eb-96c5-039287c7b23e,Left Foot,Open Play,Saved,Normal,,,,,,,111.0,29.0,118.0,36.9,0.7
14,shot,1fea0370-ae19-442a-a542-41c3a653bb85,1296,2,00:08:15.986,53,15,136,Birmingham City WFC,Regular Play,False,Birmingham City WFC,Emma Follis,Center Forward,0.2774,,0.39538056,1614e5f0-5cfc-48f8-82c0-a0611b411c7c,Right Foot,Open Play,Saved,Normal,,,,True,,,109.0,36.0,111.0,40.4,0.7
15,shot,6b28dd81-d083-413b-9a7b-a388a95b8a3f,1342,2,00:09:40.453,54,40,140,Birmingham City WFC,Regular Play,False,Birmingham City WFC,Chloe Arthur,Center Attacking Midfield,0.519581,,0.018011115,,Right Foot,Open Play,Blocked,Normal,,,,,,,91.0,41.0,105.0,42.0,
16,shot,1c194c95-ffe7-4154-8f38-cacdc1573165,1372,2,00:11:20.371,56,20,145,Birmingham City WFC,From Free Kick,False,Birmingham City WFC,Charlie Wellings,Left Wing,1.248,,0.018351952,7f3fcb48-db09-463f-89a7-1f8d095ccebf,Head,Open Play,Wayward,Normal,,,,,,,105.0,46.0,114.0,32.0,
17,shot,705e2cad-50a9-4063-87da-f95d3738ea28,1385,2,00:12:06.133,57,6,147,Birmingham City WFC,From Free Kick,False,Birmingham City WFC,Emma Follis,Center Forward,0.446144,,0.039697986,,Right Foot,Open Play,Wayward,Volley,,,,,,,99.0,47.0,103.0,43.0,
18,shot,b9702da1-5946-47f7-88e6-ff4fbcfe3672,1441,2,00:13:54.745,58,54,151,Reading WFC,From Throw In,False,Reading WFC,Brooke Chaplen,Left Center Forward,0.3394,,0.17400713,ce257a0b-62d3-421b-9647-9cf9e6c6ab62,Right Foot,Open Play,Saved,Normal,,,,,,,108.0,46.0,114.0,41.8,0.6
19,shot,efef3b66-fdc9-4abd-be4e-8a3e0026b7e8,1448,2,00:14:30.398,59,30,152,Reading WFC,From Corner,False,Reading WFC,Josanne Potter,Left Center Back,2.2581,,0.048214022,3f18bf5b-317c-4596-8f06-b0687e09686f,Left Foot,Open Play,Off T,Normal,,,,,,,98.0,48.0,119.0,34.9,2.1
20,shot,8f77c96a-481c-4c1c-ae21-bafe00a57f07,1475,2,00:15:24.775,60,24,155,Birmingham City WFC,Regular Play,False,Birmingham City WFC,Lucy Staniforth,Right Wing,3.244984,,0.0142989475,f36aca42-0f04-4e8f-8b51-661cce25b105,Right Foot,Open Play,Wayward,Normal,,,,,,,58.0,54.0,109.0,49.0,
21,shot,fbf48455-1d47-46a4-8820-84496054dac0,1493,2,00:16:08.553,61,8,158,Reading WFC,From Counter,False,Reading WFC,Rachel Furness,Right Center Midfield,0.1542,True,0.036310285,f273de47-894e-4c87-8f50-55d645527c8c,Left Foot,Open Play,Blocked,Normal,,,,,,,97.0,40.0,100.0,40.0,
22,shot,68ae3745-19e6-4d8d-a7fa-e54f5ac01738,1512,2,00:16:29.714,61,29,159,Birmingham City WFC,From Counter,False,Birmingham City WFC,Emma Follis,Center Forward,0.2967,,0.34603614,d4d2c074-73d5-4f53-bf22-600717bd28be,Right Foot,Open Play,Saved,Normal,,,,True,,,104.0,44.0,109.0,41.5,0.7
23,shot,9a8b376c-7d70-4d6c-8b30-69923632aebd,1586,2,00:20:07.866,65,7,167,Reading WFC,Regular Play,False,Reading WFC,Lauren Bruton,Right Midfield,0.453,,0.22947943,c9911a78-7154-48d4-af79-269807f44bfb,Right Foot,Open Play,Saved,Normal,,,,,,,106.0,49.0,118.0,40.9,1.1
24,shot,7fbf9c15-a5c7-41f5-988c-9df15e009b6f,1589,2,00:20:10.020,65,10,167,Reading WFC,Regular Play,False,Reading WFC,Brooke Chaplen,Left Center Forward,0.4123,,0.12709993,,Right Foot,Open Play,Saved,Half Volley,,,,,,,104.0,39.0,116.0,40.9,1.4
25,shot,09407d04-9e0e-44fc-bc52-10d9cffa4bb2,1649,2,00:23:29.891,68,29,172,Reading WFC,Regular Play,False,Reading WFC,Remi Allen,Left Midfield,0.4647,,0.06591077,d74310f6-898b-41ec-902c-bbf324574200,Head,Open Play,Wayward,Normal,,,,,,,112.0,40.0,112.0,43.0,
26,shot,9750303f-fe26-4b47-b919-5c1918728432,1691,2,00:26:33.850,71,33,177,Reading WFC,From Corner,False,Reading WFC,Remi Allen,Left Midfield,0.4656,,0.35846433,b3df1d93-cbdb-4357-a7df-d79175acfe19,Head,Open Play,Off T,Normal,,,,,,,118.0,41.0,120.0,40.0,3.5
27,shot,0b73131e-4198-4090-940b-0be0c10436ac,1721,2,00:27:47.245,72,47,180,Reading WFC,From Throw In,False,Reading WFC,Brooke Chaplen,Left Center Forward,0.731183,,0.087797605,6f90d96c-34ff-449e-9fec-125b590dd1d1,Right Foot,Open Play,Off T,Normal,,,,,,,106.0,40.0,120.0,45.3,0.7
28,shot,89c5ae62-f0ef-4973-bc54-60db8ccaebee,1755,2,00:31:52.076,76,52,187,Reading WFC,Regular Play,False,Reading WFC,Fara Tanya Franki Williams Merrett,Left Center Midfield,1.123113,,0.022743195,,Left Foot,Open Play,Off T,Volley,,,,,,,96.0,21.0,119.0,38.5,3.4
29,shot,8a65dc70-af48-4eaa-ba87-e148f9a0916a,1772,2,00:32:49.920,77,49,190,Reading WFC,From Throw In,False,Reading WFC,Gemma Suzanne Davison,Right Center Forward,1.8524,True,0.021307865,9221c4d7-44df-41f8-80c9-1665575a20d0,Right Foot,Open Play,Off T,Normal,,,,,,,99.0,59.0,119.0,34.7,0.7
30,shot,0b013c4f-7c2c-4b48-88a8-71c3c64d2b5a,1802,2,00:34:25.622,79,25,193,Reading WFC,From Free Kick,False,Reading WFC,Fara Tanya Franki Williams Merrett,Left Center Midfield,1.311456,,0.034661733,,Right Foot,Free Kick,Off T,Normal,,,,,,,91.0,39.0,119.0,43.8,3.9
