id,duration,distance,build_up_duration,shot_technique_normal,shot_technique_lob,shot_technique_half_volley,shot_open_goal,pass_height_name,pass_cut_back,pass_through_ball,follows_goalkeeper,follows_dribble,pass_cross,goal,player_name,team_name,match_id,x_loc,y_loc,pass_player_name
063beaad-0e84-4012-9804-a6b6ec01d764,1.387275,30.01666203960727,11.541457999999999,1,0,0,0,0,0,0,0,0,0,0,Danielle Buet,Brighton & Hove Albion WFC,19745,90.0,39.0,Kayleigh Green
b7c6202c-4b4d-4869-8668-591daa2b0bec,0.7202609999999999,20.248456731316587,1.805593,1,0,0,0,0,1,0,0,0,0,0,Alisha Lehmann,West Ham United LFC,19763,109.0,23.0,Julia Simic
ac6286f4-6618-442e-8051-ab5b947badce,0.684824,18.867962264113206,7.780403000000001,1,0,0,0,0,0,0,0,0,0,0,Brooke Chaplen,Reading WFC,19767,104.0,30.0,Fara Williams
0ab702f0-00d1-4e7f-99d2-bbddd85fa334,0.2,29.154759474226502,0.933,1,0,0,0,0,0,0,0,0,0,0,Crystal Alyssia Dunn,North Carolina Courage,7456,95.0,25.0,Jaelene Hinkle
0ed65237-08d2-4da2-9c3c-ff9f5e13248e,1.2670000000000001,12.083045973594572,2.1629999999999994,1,0,0,0,1,0,0,0,0,0,0,Christine Sinclair,Portland Thorns,7490,109.0,45.0,Meghan Klingenberg
5aa369bc-73cb-4b36-ba17-efedaf946891,1.492004,30.265491900843113,4.159464,1,0,0,0,1,0,0,0,0,0,0,Olivia Fergusson,Yeovil Town LFC,19750,90.0,36.0,Ellie Mason
47c57028-e679-4b82-a3b8-154aedf463a2,1.119672,10.198039027185569,1.887,1,0,0,0,1,0,0,0,0,0,0,Remi Allen,Reading WFC,19791,110.0,42.0,Fara Williams
3008d8fa-eb49-4c5b-87e6-0d44a29b2b25,0.842735,10.295630140987,2.5243,1,0,0,0,1,0,0,0,0,0,1,Jade Moore,Reading WFC,19747,111.0,35.0,Fara Williams
005b64f5-3371-43a1-a960-fdcb86af7582,0.9406459999999999,33.1058907144937,4.110982999999999,1,0,0,0,2,0,0,0,0,0,0,Iniabasi Anefiok Umotong,Brighton & Hove Albion WFC,19769,90.0,26.0,Sophie Perry-Campbell
02d56063-ef66-44e5-8abf-bec1ea132487,0.338027,10.770329614269007,6.297746999999999,0,0,1,0,1,0,0,0,0,0,0,Claudia Walker,Everton LFC,19773,116.0,50.0,Megan Finnigan
be3cb334-8ad2-45ed-aab4-ae9a247f1ac2,1.3987,12.041594578792296,2.4316000000000004,1,0,0,0,1,0,0,0,0,0,0,Anne-Marie Heatherson,Yeovil Town LFC,19788,112.0,49.0,Hannah Short
c3311229-e157-4882-8af3-b0ab4f69571f,0.888854,9.848857801796104,1.5783059999999998,1,0,0,0,1,0,0,0,0,0,0,Stephanie Houghton,Manchester City WFC,19714,111.0,44.0,Georgia Stanway
ce003531-cc65-414d-8f1e-9111114c5107,1.507749,19.72308292331602,11.8423,1,0,0,0,0,0,0,0,1,0,0,Leanne Kiernan,West Ham United LFC,19763,103.0,30.0,Alisha Lehmann
