play_pattern,under_pressure,body_part,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,assisted,distance,angle,duration,goal
From Throw In,0,foot,Normal,0,0,0,0,0,0,1,15.620499351813306,50.19442890773481,1.224548,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,16.97056274847714,45.0,0.2712,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,22.47220505424423,20.854458039578347,0.7084,0
From Free Kick,0,foot,Normal,0,0,0,1,0,0,1,18.027756377319946,56.309932474020215,0.4216,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,15.0,53.13010235415598,0.2135,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,13.601470508735444,53.972626614896406,2.086106,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,8.602325267042627,35.53767779197438,1.028185,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,22.803508501982762,37.874983651098205,1.070363,0
Regular Play,0,foot,Normal,0,1,0,0,0,0,1,21.37755832643195,10.7842978675626,1.4593,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,20.8806130178211,16.699244233993618,0.2196,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,30.463092423455638,23.198590513648185,1.994593,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,31.827660925679094,43.726969979943284,1.1448,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,12.529964086141668,61.389540334034784,0.6125510000000001,0
From Corner,0,foot,Normal,0,0,0,0,0,0,1,12.806248474865697,38.659808254090095,1.206531,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,33.1058907144937,25.016893478100023,2.246573,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,1,13.601470508735444,36.02737338510361,1.237861,0
Regular Play,0,head,Normal,0,0,0,0,0,0,1,9.0,0.0,1.4418,0
From Throw In,0,head,Normal,0,0,0,0,0,0,1,7.280109889280517,15.945395900922856,0.9284,0
From Throw In,0,head,Normal,0,0,0,0,0,0,1,11.180339887498945,10.304846468766033,1.0415,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,11.180339887498945,26.56505117707799,2.2071,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,1,12.649110640673518,18.434948822922014,1.0974,0
Regular Play,0,foot,Normal,0,0,0,1,0,0,1,13.601470508735444,36.02737338510361,1.11095,0
From Throw In,0,head,Normal,0,0,0,0,0,0,1,6.708203932499369,26.56505117707799,0.197,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,1,11.04536101718726,5.194428907734807,2.184362,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,0,37.53664875824692,41.760299703897864,1.578476,0
From Corner,0,foot,Normal,1,0,0,0,0,0,1,11.401754250991381,52.125016348901795,0.327328,0
From Corner,0,head,Normal,0,0,0,0,0,0,1,11.401754250991381,15.255118703057775,0.5794,0
From Free Kick,0,head,Normal,0,0,0,0,0,0,1,7.6157731058639095,23.198590513648185,1.410494,0
Regular Play,0,foot,Normal,0,1,0,1,0,0,1,9.433981132056603,32.00538320808349,0.251225,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,24.186773244895647,29.74488129694222,1.168509,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,19.02629759044045,3.0127875041833403,2.088197,0
From Free Kick,0,foot,Normal,0,0,0,0,0,0,0,6.0,0.0,0.0722,0
From Free Kick,0,foot,Volley,0,0,0,0,0,0,0,15.652475842498527,26.56505117707799,0.8739,0
From Throw In,0,head,Normal,0,0,0,0,0,0,1,12.16552506059644,9.462322208025618,0.0585,0
From Throw In,0,foot,Normal,0,0,0,0,0,0,0,44.0,0.0,2.1349970000000003,0
Regular Play,0,foot,Normal,0,0,0,0,0,0,1,22.02271554554524,50.52754015165618,0.2261,0
From Corner,0,foot,Half Volley,1,0,0,0,0,0,0,12.649110640673518,18.434948822922014,1.089749,1
Regular Play,0,head,Normal,0,0,0,0,0,0,1,7.0,0.0,0.0415,0
